Conversations memory debug
Conversation 1, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 33, priv. variables : 34		Corby
Conversation 138, MemorySlots : 35, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 35	Derek
Conversation 139, MemorySlots : 35, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 35	Trish
Conversation 140, MemorySlots : 33, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 33	Ree
Conversation 141, MemorySlots : 41, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 41	Fenzor
Conversation 142, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 34	Rodrick
Conversation 143, MemorySlots : 38, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 38	Biden
Conversation 144, MemorySlots : 35, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 35	Rawstag
Conversation 146, MemorySlots : 36, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 36	Doris
Conversation 147, MemorySlots : 36, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 36	Kyle
Conversation 148, MemorySlots : 36, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 36	Cecil
Conversation 149, MemorySlots : 36, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 36	Meredith
Conversation 161, MemorySlots : 59, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 59	Anjor
Conversation 162, MemorySlots : 43, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 43	Kneenibble
Conversation 184, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 34	Delanrey
Conversation 185, MemorySlots : 35, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 35	Nilpont
Conversation 186, MemorySlots : 36, ImportedGlobals : 81, Memory PUSHI : 32, priv. variables : 36	Folina
Conversation 187, MemorySlots : 36, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 36	Illomo
Conversation 188, MemorySlots : 35, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 35	Gralwart
Conversation 189, MemorySlots : 33, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 33	Shenilor
Conversation 190, MemorySlots : 37, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 37	Bronus
Conversation 191, MemorySlots : 35, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 35	Ranthru
Conversation 192, MemorySlots : 33, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 33	Fyrgen
Conversation 193, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 34	Louvnon
Conversation 194, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 34	Dominus
Conversation 208, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 33, priv. variables : 34	Cardon
Conversation 209, MemorySlots : 36, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 36	guard
Conversation 210, MemorySlots : 36, ImportedGlobals : 82, Memory PUSHI : 35, priv. variables : 36	Naruto
Conversation 211, MemorySlots : 35, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 35	Dantes
Conversation 212, MemorySlots : 37, ImportedGlobals : 82, Memory PUSHI : 36, priv. variables : 37	Kallistan
Conversation 213, MemorySlots : 33, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 33	Fintor
Conversation 214, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 33, priv. variables : 34	Bolinard
Conversation 215, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 33, priv. variables : 34	Smonden
Conversation 216, MemorySlots : 40, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 40	guard
Conversation 217, MemorySlots : 35, ImportedGlobals : 82, Memory PUSHI : 34, priv. variables : 35	Gurstang
Conversation 218, MemorySlots : 33, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 33	Griffle
Conversation 219, MemorySlots : 36, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 36	guard
Conversation 220, MemorySlots : 38, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 38	guard
Conversation 221, MemorySlots : 45, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 45	imp
Conversation 222, MemorySlots : 36, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 36	guard
Conversation 231, MemorySlots : 33, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 33	Tyball
Conversation 232, MemorySlots : 37, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 37	Carasso
Conversation 262, MemorySlots : 35, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 35
Conversation 263, MemorySlots : 35, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 35
Conversation 268, MemorySlots : 35, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 35
Conversation 272, MemorySlots : 35, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 35
Conversation 276, MemorySlots : 79, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 79
Conversation 277, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 33, priv. variables : 34
Conversation 278, MemorySlots : 79, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 79
Conversation 280, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 33, priv. variables : 34
Conversation 281, MemorySlots : 34, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 34
Conversation 282, MemorySlots : 33, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 33
Conversation 288, MemorySlots : 40, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 40
Conversation 291, MemorySlots : 33, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 33
Conversation 295, MemorySlots : 51, ImportedGlobals : 81, Memory PUSHI : 50, priv. variables : 51
Conversation 297, MemorySlots : 33, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 33
Conversation 314, MemorySlots : 33, ImportedGlobals : 82, Memory PUSHI : 32, priv. variables : 33
